제목(원어),제목(한국어),발매일,과거기반 선곡률,유튜브,가사(콜표)
BLACK SHOUT,,2017-04-19,76,https://www.youtube.com/watch?v=MmnU-s1TdsI&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=54,"<p><br></p><p>暗い夜も (fighting) 怯えずに今 (smiling)</p><p>쿠라이 요루모&nbsp;<b><font color=""#ff0000"">(fighting)</font></b>&nbsp;오비에즈니 이마&nbsp;<b><font color=""#ff0000"">(smiling)</font></b></p><p>어두운 밤도 (fighting) 두려워하지 말고 지금 (smiling)</p><p><br></p><p>信じた道 (running) 迷わず進もう　</p><p>신지타 미치&nbsp;<b><font color=""#ff0000"">(running)</font></b>&nbsp;마요와즈 스스모-</p><p>믿었던 길을 (running) 망설이지 말고 나아가자</p><p><br></p><p>黒でもいい (all right) 白じゃなくても (ok)</p><p>쿠로데모 이이&nbsp;<b><font color=""#ff0000"">(all right)</font></b>&nbsp;시로쟈 나쿠테모&nbsp;<b><font color=""#ff0000"">(ok)</font></b></p><p>검어도 괜찮아 (all right) 희지 않아도 (ok)</p><p><br></p><p>不条理を壊し</p><p>후죠-리오 코와시</p><p>부조리를 부수고</p><p><br></p><p>私は此処に今　生きているから (SHOUT！)</p><p>와타시와 코코니 이마 이키테이루카라&nbsp;<b><font color=""#ff0000"">(SHOUT！)</font></b></p><p>나는 여기에 지금 살아 있으니까 (SHOUT!)</p><p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">(BLACK SHOUT)</span></p><p><br></p><p><br></p><p>(BLACK) 不安に溢れた (SHOUT) 世の中のイロハ</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;후안니 아후레타&nbsp;<b><font color=""#ff0000"">(SHOUT)</font></b>&nbsp;요노 나카노 이로하</p><p>(BLACK) 불안으로 넘쳐흐르는 (SHOUT) 세상으로의 첫걸음</p><p><br></p><p>(BLACK) 苛立ちと共に 自由を奪ってく</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;이라다치토 토모니 지유-오 우밧테쿠</p><p>(BLACK) 초조함과 함께 자유를 빼앗아 가</p><p><br></p><p>(BLACK) モノクロの雨が (SHOUT) 世界を隠して</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;모노쿠로노 아메가&nbsp;<b><font color=""#ff0000"">(SHOUT)</font></b>&nbsp;세카이오 카쿠시테</p><p>(BLACK) 흑백의 비가 (SHOUT) 세계를 숨기고</p><p><br></p><p>(BLACK) 空は嘲笑い沈んだ</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;소라와 아자와라이 시즌다</p><p>(BLACK) 하늘은 비웃으며 가라앉았어</p><p><br></p><p><br></p><p>邪魔するもの (嫉妬) 振り落として (衝動)</p><p>쟈마스루 모노&nbsp;<font color=""#ff0000"">(싯토)</font>&nbsp;후리오토시테&nbsp;<font color=""#ff0000"">(쇼-도-)</font></p><p>방해하는 것을 (질투) 떨쳐내고 (충동)</p><p><br></p><p>私の色 (本能) 取り戻したいから...！</p><p>와타시노 이로&nbsp;<font color=""#ff0000"">(혼노-)</font>&nbsp;토리모도시타이카라</p><p>자신의 색을 (본능) 되찾고 싶으니까...!</p><p><br></p><p><br></p><p>例え明日が (missing) 行き止まりでも (going)</p><p>타토에 아스가&nbsp;<b><font color=""#ff0000"">(missing)</font></b>&nbsp;이키도마리데모&nbsp;<b><font color=""#ff0000"">(going)</font></b></p><p>비록 내일이 (missing) 막다른 곳이라도 (going)</p><p><br></p><p>自分の手で (breaking) 切り開くんだ</p><p>지분노 테데&nbsp;<b><font color=""#ff0000"">(breaking)</font></b>&nbsp;키리히라쿤다</p><p>자신의 손으로 (breaking) 개척하는 거야</p><p><br></p><p>すくむ身体 (get up) 強く抱いて (stacking)</p><p>스쿠무 카라다&nbsp;<b><font color=""#ff0000"">(get up)</font></b>&nbsp;츠요쿠 이다이테&nbsp;<b><font color=""#ff0000"">(staking)</font></b></p><p>움츠러드는 몸을 (get up) 강하게 안고서 (stacking)</p><p><br></p><p>覚悟で踏み出し</p><p>카쿠고데 후미다시</p><p>각오로 내딛어</p><p><br></p><p>叶えたい夢　勝ち取れ今すぐに！(SHOUT！)</p><p>카나에타이 유메 카치토레 이마 스구니&nbsp;<b><font color=""#ff0000"">(SHOUT!)</font></b></p><p>이루고 싶은 꿈을 쟁취해라 지금 당장 (SHOUT!)</p><p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">★ 하이콜</span></p><p><br></p><p><br></p><p>(BLACK) ありきたりなんて (SHOUT) 嫌なの全てが</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;아리키타리 난테&nbsp;<b><font color=""#ff0000"">(SHOUT)</font></b>&nbsp;이야나노 스베테가</p><p>(BLACK) 흔해빠진 모든 것이 (SHOUT) 싫어</p><p><br></p><p>(BLACK) いつもと同じに？そんなのありえない</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;이츠모토 오나지니 손나노 아리에나이</p><p>(BLACK) 평소와 같이? 그런 건 있을 수 없어</p><p><br></p><p>(BLACK) 声を高らかに (SHOUT) 本音に答える</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;코에오 타카라카니&nbsp;<b><font color=""#ff0000"">(SHOUT)</font></b>&nbsp;혼네니 코타에루</p><p>(BLACK) 목소리를 높여 (SHOUT) 본심에 답해</p><p><br></p><p>(BLACK) 嘆くよりずっと大事で</p><p><b><font color=""#ff0000"">(BLACK)</font></b>&nbsp;나게쿠요리 즛토 다이지데</p><p>(BLACK) 탄식보다 훨씬 소중하고</p><p><br></p><p><br></p><p>誘惑には (何度) 惑わされず (幻想)</p><p>유-와쿠니와&nbsp;<font color=""#ff0000"">(난도)</font>&nbsp;마도와사레즈&nbsp;<font color=""#ff0000"">(겐소-)</font></p><p>유혹에는 (몇 번이고) 현혹되지 않고 (환상)</p><p><br></p><p>震えた胸 (凛と) 熱く鳴らしたんだ</p><p>후루에타 무네&nbsp;<font color=""#ff0000"">(린토)</font>&nbsp;아츠쿠 나라시탄다</p><p>떨렸던 가슴을 (늠름하게) 뜨겁게 울렸던 거야</p><p><br></p><p><br></p><p>しがらみから (hinder) 解き放つ今 (relight)</p><p>시가라미카라&nbsp;<b><font color=""#ff0000"">(hinder)</font></b>&nbsp;토키하나츠 이마&nbsp;<b><font color=""#ff0000"">(relight)</font></b></p><p>속박에서 (hinder) 해방되는 지금 (relight)</p><p><br></p><p>ニセモノには (don't go) なりたくないの</p><p>니세모노니와&nbsp;<b><font color=""#ff0000"">(don't go)</font></b>&nbsp;나리타쿠나이노</p><p>가짜는 (don't go) 되고 싶지 않아</p><p><br></p><p>甘え捨てて (begin) 強さに変える (wake up)</p><p>아마에 스테테&nbsp;<b><font color=""#ff0000"">(begin)</font></b>&nbsp;츠요사니 카에루&nbsp;<b><font color=""#ff0000"">(wake up)</font></b></p><p>어리광은 버리고 (begin) 강함으로 바뀌어 (wake up)</p><p><br></p><p>輝いて姿</p><p>카가야이테 스가타</p><p>빛나는 모습</p><p><br></p><p>掴め未来を 決意の手のひらで (SHOUT！)</p><p>츠카메 미라이오 케츠이노 테노 히라데&nbsp;<b><font color=""#ff0000"">(SHOUT!)</font></b></p><p>잡아라 미래를 결심의 손바닥으로 (SHOUT!)</p><p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">★ 베이스파트 끝나고 기타+피아노에서 하이콜</span></p><p><br></p><p><br></p><p>揺ぐ視線 (残像) 守るように (一層)</p><p>유라구 시센&nbsp;<font color=""#ff0000"">(잔소-)</font>&nbsp;마모루 요-니&nbsp;<font color=""#ff0000"">(잇소-)</font></p><p>흔들리는 시선 (잔상) 지킬 수 있도록 (더욱)</p><p><br></p><p>固く結び (ギュッと) 勇気で繋ぐから</p><p>카타쿠 무스비&nbsp;<font color=""#ff0000"">(귯토)</font>&nbsp;유우키데 츠나구카라</p><p>단단하게 매듭지어 (꼭) 용기로 이어질 테니까</p><p><br></p><p><br></p><p>例え明日が (missing) 行き止まりでも (going)</p><p>타토에 아스가&nbsp;<b><font color=""#ff0000"">(missing)</font></b>&nbsp;이키도마리데모&nbsp;<b><font color=""#ff0000"">(going)</font></b></p><p>비록 내일이 (missing) 막다른 곳이라도 (going)</p><p><br></p><p>自分の手で (breaking) 切り開くんだ</p><p>지분노 테데&nbsp;<b><font color=""#ff0000"">(breaking)</font></b>&nbsp;키리히라쿤다</p><p>자신의 손으로 (breaking) 개척하는 거야</p><p><br></p><p>すくむ身体 (get up) 強く抱いて (stacking)</p><p>스쿠무 카라다&nbsp;<b><font color=""#ff0000"">(get up)</font></b>&nbsp;츠요쿠 이다이테&nbsp;<b><font color=""#ff0000"">(staking)</font></b></p><p>움츠러드는 몸을 (get up) 강하게 안고서 (stacking)</p><p><br></p><p>覚悟で踏み出し</p><p>카쿠고데 후미다시</p><p>각오로 내딛어</p><p><br></p><p>叶えたい夢　勝ち取れ今すぐに！(SHOUT！)</p><p>카나에타이 유메 카치토레 이마 스구니&nbsp;<b><font color=""#ff0000"">(SHOUT!)</font></b></p><p>이루고 싶은 꿈을 쟁취해라 지금 당장 (SHOUT!)</p><p><br style=""color: rgb(51, 51, 51); font-family: -apple-system, BlinkMacSystemFont, &quot;Apple SD Gothic Neo&quot;, &quot;Malgun Gothic&quot;, &quot;맑은 고딕&quot;, arial, 굴림, Gulim, sans-serif; font-size: 13px;""></p>"
Re:birth day,,2017-06-28,19,https://www.youtube.com/watch?v=cqY4sBLd-_E&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=52,
LOUDER,,2017-04-19,10,https://www.youtube.com/watch?v=RZBHAjojJhg&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=55,
陽だまりロードナイト,양지 로도나이트,2017-06-28,14,https://www.youtube.com/watch?v=KjgjeK-ppd0&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=53,
熱色スターマイン,열색 스타마인,2017-08-30,48,https://www.youtube.com/watch?v=DZNOUNsvWps&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=50,
－HEROIC ADVENT－,,2017-08-30,19,https://www.youtube.com/watch?v=HD--qY58fsM&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=51,
Determination Symphony,,2017-11-29,24,https://www.youtube.com/watch?v=4jyT00Gn2Ec&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=49,
ONENESS,,2017-11-29,29,https://www.youtube.com/watch?v=m3mZynIlQe0&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=48,
Opera of the wasteland,,2018-03-21,14,https://www.youtube.com/watch?v=kzzXxwU3qo4&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=46,
軌跡,궤적,2018-03-21,43,https://www.youtube.com/watch?v=P2BT98BC1N8&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=47,
Neo-Aspect,,2018-05-02,24,https://www.youtube.com/watch?v=03iVXFZ8jrs&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=44,
Legendary,,2018-05-02,,https://www.youtube.com/watch?v=MaWXiKOzwUc&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=45,
Sanctuary,,2018-12-12,,https://www.youtube.com/watch?v=LAPLzxHzaHY&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=42,
R,,2018-07-25,71,https://www.youtube.com/watch?v=ZqdMPCDsCeE&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=43,
PASSIONATE ANTHEM,,2018-12-12,,https://www.youtube.com/watch?v=68Gwwqp1DK4&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=40,
BRAVE JEWEL,,2019-02-20,14,https://www.youtube.com/watch?v=MHXRfiufs2o&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=41,
Safe and Sound,,2019-02-20,10,https://www.youtube.com/watch?v=l4JL3HYzEqs&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=39,
Ringing Bloom,,2019-07-24,24,https://www.youtube.com/watch?v=h4cEEXCPO8M&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=38,
FIRE BIRD,,2019-07-24,100,https://www.youtube.com/watch?v=ac66DA0pDbg&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=37,
約束,약속,2020-01-15,43,https://www.youtube.com/watch?v=Xrx-qzgzhek&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=35,
UNIONS Road,,2020-01-15,71,https://www.youtube.com/watch?v=1afLYh5w8XY&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=36,
