제목(원어),제목(한국어),발매일,과거기반 선곡률,유튜브,가사(콜표)
Song I am.,,2020-07-15,33,https://www.youtube.com/watch?v=Kohn9PRanoY&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=34,"<p><br></p><p><span style=""background-color: rgb(206, 231, 247);"">★&nbsp;도입부 4마디 박수</span></p><p><span style=""background-color: rgb(255, 198, 156);"">★&nbsp;4마디 쉬었다가 12마디 하이콜</span></p><p><br></p><p>歪な始まりは生まれた</p><p>이비츠나 하지마리와 우마레타</p><p>일그러진 시작은 태어났어</p><p><br></p><p>世界が崩れゆく中から</p><p>세카이가 쿠즈레유쿠 나카카라</p><p>세계가 부서져 가는 속에서</p><p><br></p><p>Make it happen&nbsp;<font color=""#ff0000"">(Gotta make it happen)</font></p><p><br></p><p>迷いなくこの身を捧げたわ</p><p>마요이나쿠 코노 미오 사사게타와</p><p>망설임 없이 이 몸을 바쳤네</p><p><br></p><p>立ち上がるためならば後から</p><p>타치아가루 타메나라바 아토카라</p><p>일어서기 위해서라면 나중에</p><p><br></p><p>Make it happen&nbsp;<font color=""#ff0000"">(Gotta make it happen)</font></p><p><br></p><p><br></p><p>足掻きも泣きながら (Wo wo wow...)</p><p>아가키모 나키나가라&nbsp;<b><font color=""#ff0000"">(Wo wo wow...)</font></b></p><p>발버둥도 울면서 (Wo wo wow...)</p><p><br></p><p>集めた本当の歌う意味を</p><p>아츠메타 혼토-노 우타우 이미오</p><p>모았어 진짜 노래하는 의미를</p><p><br></p><p><br></p><p><b><font color=""#ff0000"">(I am Song.)</font></b></p><p><br></p><p>あなたがいたから私がいた過去から</p><p>아나타가 이타카라 와타시가 이타 카코카라</p><p>당신이 있었기에 내가 있어 과거부터</p><p><br></p><p><b><font color=""#ff0000"">(I am Song.)</font></b></p><p><br></p><p>これからも道を選び</p><p>코레카라모 미치오 에라비</p><p>앞으로도 길을 선택하고</p><p><br></p><p>私たちがあるための未来へと</p><p>와타시타치가 아루 타메노 미라이에토</p><p>우리들이 있기 위한 미래로</p><p><br></p><p><b><font color=""#ff0000"">(I am Song.)</font></b></p><p><br></p><p>振り返らず迷わず進むわ</p><p>후리카에라즈 마요와즈 스스무와</p><p>뒤돌아보지 않고 망설이지 않고 나아가네</p><p><br></p><p>Shout to the top!</p><p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">★ 하이콜</span></p><p><br></p><p><br></p><p>決して死なない…</p><p>케시테 시나나이…</p><p>결코 죽지 않겠어</p><p><br></p><p>火をつけた言葉は　今やBlazing… (Burn‼！)</p><p>히오츠케타 코토바와 이마야 Blazing...&nbsp;<font color=""#ff0000"">(Burn‼！)</font></p><p>불을 붙였던 말은 이제서야 Blazing... (Burn‼！)</p><p><br></p><p>五体全てを照らして</p><p>고타이 스베테오 테라시테</p><p>온 몸 전부를 비춰가며</p><p><br></p><p>We live forever&nbsp;<font color=""#ff0000"">(We live forever)</font></p><p><br></p><p><br></p><p>義務じゃなく自分の意志のみで</p><p>기무쟈나쿠 지분노이시노미데</p><p>의무가 아닌 스스로의 의지만으로</p><p><br></p><p>I sing a song.　羽ばたくよう (Oh, oh！)</p><p>I sing a song. 하바타쿠요&nbsp;<b><font color=""#ff0000"">(Oh, oh！)</font></b></p><p>I sing a song. 날갯짓으로 (Oh, oh！)</p><p><br></p><p>誇りと音色たちよ　さらに気高く響け！</p><p>호코리토 네이로타치요 사라니케다카쿠히비케！</p><p>긍지와 음색들이여 더욱 고귀하게 울려라！</p><p><br></p><p><br></p><p><b><font color=""#ff0000"">(Song I am.)</font></b></p><p><br></p><p>この先どんなに長い道のりだろうと</p><p>코노사키 돈나니 나가이미치노리다로-토</p><p>이 앞이 얼마나 기나긴 길일 거라고</p><p><br></p><p><b><font color=""#ff0000"">(Song I am.)</font></b></p><p><br></p><p>何を恐れることがある？</p><p>나니오 오소레루 코토가아루？</p><p>무엇을 두려워 할 게 있어?</p><p><br></p><p>選ぶ先は　正解しかないんだ</p><p>에라부사키와 세이카이시카나인다</p><p>선택한 그 앞에는 정답 밖에는 없는걸</p><p><br></p><p><b><font color=""#ff0000"">(Song I am.)</font></b></p><p><br></p><p>確かな運命を　今此処から</p><p>타시카나 운메이오 이마코코카라</p><p>확실한 운명을 지금 여기서부터</p><p><br></p><p>Declare to be！</p><p><br></p><p><br></p><p>Wo wo wow... Song I am.</p><p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">★ 기타솔로 8마디 기다렸다가 하이콜</span></p><p><span style=""background-color: rgb(206, 198, 206);""><br></span></p><p><br></p><p><b><font color=""#ff0000"">(I am song.)</font></b></p><p><br></p><p>導き続けてくれたもの達へ贈ろう</p><p>미치비키 츠즈케테쿠레타 모노타치에 오쿠로-</p><p>계속해서 이끌어와준 것들에게 보내자</p><p><br></p><p><b><font color=""#ff0000"">(I am song.)</font></b></p><p><br></p><p>感謝と　そして思いを…</p><p>칸샤토 소시테 오모이오...</p><p>감사와, 그리고 마음을...</p><p><br></p><p>私達が在る為の未来まで</p><p>와타시타치가 아루타메노 미라이마데</p><p>우리들이 있기 위한 미래까지</p><p><br></p><p><b><font color=""#ff0000"">(I am song.)</font></b></p><p><br></p><p>振り返らず迷わず信じて</p><p>후리카에라즈 마요와즈 신지테</p><p>뒤돌아 보지 않고 헤메지 않고 믿어줘</p><p><br></p><p>Shout to the top!</p><p><br></p><p><br></p><p><b><font color=""#ff0000"">(Song I am.)</font></b></p><p><br></p><p>…私達は　新たな世界を歌ってゆくわ</p><p>와타시타치와 아라타나 세카이오 우탓테유쿠와</p><p>우리들은 새로운 세계를 노래해갈거야</p><p><br></p><p><b><font color=""#ff0000"">(Song I am)</font></b></p><p><br></p><p>Wo Wow... Wo Wow...</p><p><br></p><p><b><font color=""#ff0000"">(Song I am.)</font></b></p><p><br></p><p>強く、熱く、届けよ　果てまで</p><p>츠요쿠, 아츠쿠, 토도케요, 하테마데</p><p>강하게, 뜨겁게, 다다르자 끝까지</p><p><br></p><p>LOUDER!!!!! LOUDER!!!!!</p><p><br style=""color: rgb(51, 51, 51); font-family: -apple-system, BlinkMacSystemFont, &quot;Apple SD Gothic Neo&quot;, &quot;Malgun Gothic&quot;, &quot;맑은 고딕&quot;, arial, 굴림, Gulim, sans-serif; font-size: 13px;""></p>"
Break your desire,,2020-07-15,10,https://www.youtube.com/watch?v=tzXB1HCJAQo&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=33,
Avant-garde HISTORY,,2020-07-15,,https://www.youtube.com/watch?v=C3vzihABDZQ&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=32,
Blessing Chord,,2021-01-20,,https://www.youtube.com/watch?v=qKYf5ozmgsE&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=31,
ZEAL of proud,,2021-01-20,38,https://www.youtube.com/watch?v=LKvJhHQN4Y8&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=30,
Keep Heart,,2021-12-15,5,https://www.youtube.com/watch?v=0e9gzU4spFU&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=23,
Proud of oneself,,2021-06-30,5,https://www.youtube.com/watch?v=QJ5DMiLGliA&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=25,
Original Call,,2021-12-15,,https://www.youtube.com/watch?v=Rfw6OoJj3Cw&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=24,
overtuRe,,2021-06-30,14,https://www.youtube.com/watch?v=ZbI7Cfdo4ZM&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=26,
Sing Alive,,2021-06-30,29,https://www.youtube.com/watch?v=2zRyFvvZa-g&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=27,
"Singing ""OURS""",,2021-06-30,,https://www.youtube.com/watch?v=rGkei9v-jz4&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=28,
Sprechchor,,2021-12-15,43,https://www.youtube.com/watch?v=cBOI_0zr9fY&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=22,
Our Carol,,2022-10-26,10,https://www.youtube.com/watch?v=Qf-Rwc6nP1U,
閃光,섬광,2022-05-18,5,https://www.youtube.com/watch?v=I0s49imrtho&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=19,
THE HISTORIC...,,2022-05-18,62,https://www.youtube.com/watch?v=okRTje9G9mw&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=20,
ROZEN HORIZON,,2022-05-18,86,https://www.youtube.com/watch?v=8Cygbjd1h8Y&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=21,
Swear 〜Night & Day〜,,2022-10-26,14,https://www.youtube.com/watch?v=q9g4jk1-XCs,
Dear Gleam,,2023-04-26,52,https://www.youtube.com/watch?v=ihQB9wYq89g&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=17,
一逢のFull Glory,단 한 번의 Full Glory,2023-04-26,62,https://www.youtube.com/watch?v=uXgEOq0544w&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=18,
Call the shots,,2023-09-04,,https://www.youtube.com/watch?v=F77aqQzwGCs&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=14,
Sunlit Musical,,2023-12-13,,https://www.youtube.com/watch?v=2JI1K2Y8s0o&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=15,
THRONE OF ROSE,,2023-04-26,10,https://www.youtube.com/watch?v=H_ngLOaoMvs&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=16,
覚悟のLiberation,각오의 Liberation,2024-06-26,48,https://www.youtube.com/watch?v=ncY1KiGbQk8&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=10,
VIOLET LINE,,2023-12-13,48,https://www.youtube.com/watch?v=-yVtSiKoc1c&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=13,
Always recall.,,2024-06-26,5,https://www.youtube.com/watch?v=M5h9Td238hI&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=11,
Floral Haven,,2024-05-26,5,https://www.youtube.com/watch?v=EmfhCu7wZOE&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=12,
Sage der Rosen,,2024-06-26,10,https://www.youtube.com/watch?v=z0jU3sNiA44&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=9,
礎の花冠,초석의 화관,2024-12-11,10,https://www.youtube.com/watch?v=GyZ4UFCbWZo&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=7,
FRONTIER FANTASIA,,2024-12-11,,https://www.youtube.com/watch?v=XuxC9WuFZcw&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=8,"<p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">★ 전주 빰빰빰 하고 8마디 하이콜</span></p><p><br></p><p>その瞳は誰よりも激しく鮮烈に燃えて</p><p>소노 히토미와 다레요리모 하게시쿠 센레츠니 모에테</p><p>그 눈동자는 누구보다도 선명하고 강렬하게 타오르고</p><p><br></p><p>落ちた影を刹那に払いのけたの</p><p>오치타 카게오 세츠나니 하라이노케타노</p><p>드리워진 그림자를 순식간에 물리쳤어</p><p><br></p><p>踏み出す世界に　胸は舞い躍って</p><p>후미다스 세카이니 무네와 마이오돗테</p><p>세상에 내딛고 가슴은 춤추듯이 설레고</p><p><br></p><p><br></p><p>愛すべき日々　前を見据え　想い　重ね合って</p><p>아이스베키 히비 마에오 미스에 오모이 카사네아앗테</p><p>사랑해야 하는 일상 앞을 응시하고 마음이 겹쳐지고</p><p><br></p><p>何度も　 生まれ変わってゆく</p><p>난도모 우마레카와앗테 유쿠</p><p>몇 번이고 다시 태어나네</p><p><br></p><p>己を自由へと　解き放てば</p><p>오노레오 지유-에토 토키하나테바</p><p>자신을 자유롭게 해방시킨다면</p><p><br></p><p>自ずと進むべき場所　導かれて</p><p>오노즈토 스스무베키 바쇼 미치비카레테</p><p>자연스럽게 나아가야 할 장소로 이끌리고</p><p><br></p><p><br></p><p>天を仰いで　何処までも</p><p>테은오 아오이데 도코마데모</p><p>하늘을 우러러보며 어디까지고</p><p><br></p><p>勇敢な心鳴らして　進み続けよう</p><p>유-카은나 코코로 나라시테 스스미 츠즈케요-</p><p>용감한 마음을 떨치며 계속 나아가자</p><p><br></p><p>持ち得る勇気が　優しさを紡いでゆく</p><p>모치우루 유우키가 야사시사오 츠무이데 유쿠</p><p>가질 수 있는 용기가 다정함을 자아내고 있네</p><p><br></p><p>譲れない夢　素晴らしき存在</p><p>유즈레나이 유메 스바라시키 소은자이</p><p>양보할 수 없는 꿈과 굉장한 존재</p><p><br></p><p>取り合う両手で抱きしめては</p><p>토리아우 료-테데 다키시메테와</p><p>맞잡은 양손으로 끌어안고서는</p><p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">★ (다키시메테와- 끝나고) 간주 7마디 하이콜</span></p><p><br></p><p><br></p><p>触れて見つめて味わって　芽吹いてゆく可能性で</p><p>후레테 미츠메테 아지왓테 메부이테 유쿠 카노-세이데</p><p>접촉하고 바라보고 맛보고 점점 싹트는 가능성에</p><p><br></p><p>また一つ望む未来を始めましょう</p><p>마타 히토츠 노조무 미라이오 하지메마쇼-</p><p>또 하나 바라는 미래를 시작하자</p><p><br></p><p>出逢うべき運命が迎えに来るわ</p><p>데아우베키 운메이가 무카에니 쿠루와</p><p>만나야 하는 운명이 우릴 맞이하러 올 거야</p><p><br></p><p><br></p><p>高く胸を張れ</p><p>타카쿠 무네오 하레</p><p>드높이 가슴을 펴라</p><p><br></p><p>誇り高き同志たちよ　その名を掲げて</p><p>호코리 타카키 도-시타치요 소노 나오 카카게테</p><p>긍지 높은 동지들이여 그 이름을 내걸어라</p><p><br></p><p>過ぎたことには目を向けず　諦めないと明日を語る</p><p>스기타 코토니와 메오 무케즈 아키라메나이토 아스오 카타루</p><p>지나간 일에는 눈을 돌리지 않고 포기하지 않겠다고 내일을 얘기해</p><p><br></p><p>言葉は躊躇いなく羽撃いてゆく</p><p>코토바와 타메라이 나쿠 하바타이테 유쿠</p><p>말은 주저 없이 날아가겠지</p><p><br></p><p><br></p><p>時に迷い　時に悩み</p><p>토키니 마요이 토키니 나야미</p><p>때로는 망설이고 때로는 고민하고</p><p><br></p><p>不完全だからこそ輝く瞬間がある</p><p>후카은제은다카라코소 카가야쿠 슌카은가 아루</p><p>오히려 불완전하기 때문에 반짝이는 순간이 있어</p><p><br></p><p>朗らかな声に乗せ歌う　自分らしさ</p><p>호가라카나 코에니 노세 우타우 지부은라시사</p><p>명랑한 목소리에 실어 노래해 나다움을</p><p><br></p><p>信じることを 重ねるほどに光る</p><p>시은지루 코토오 카사네루 호도니 히카루</p><p>여러 번 믿을수록 반짝여</p><p><br></p><p>魂は美しく咲き誇る</p><p>타마시-와 우츠쿠시쿠 사키호코루</p><p>영혼은 아름답게 활짝 피어</p><p><br></p><p><span style=""background-color: rgb(255, 198, 156);"">★ (사키호코루- 끝나고) 간주 7마디 하이콜</span></p><p><br></p><p><br></p><p>現実に　焦らないで　必ず　道は拓く</p><p>겐지츠니 아세라나이데 카나라즈 미치와 히라쿠</p><p>현실에 조바심 내지 마 반드시 길은 열릴 거야</p><p><br></p><p>完璧な　姿で最上へと</p><p>칸페키나 스가타데 사이죠-에토</p><p>완벽한 모습으로 최상층으로</p><p><br></p><p>覚悟が繋ぐ　奇跡は尊く</p><p>카쿠고가 츠나구 키세키와 토-토쿠</p><p>각오가 연결한 기적은 소중해</p><p><br></p><p><br></p><p>天を仰いで　何処までも</p><p>테은오 아오이데 도코마데모</p><p>하늘을 우러러보며 어디까지고</p><p><br></p><p>勇敢な心鳴らして　進み続けよう</p><p>유-카은나 코코로 나라시테 스스미 츠즈케요-</p><p>용감한 마음을 떨치며 계속 나아가자</p><p><br></p><p>持ち得る勇気が　優しさを紡いでゆく</p><p>모치우루 유우키가 야사시사오 츠무이데 유쿠</p><p>가질 수 있는 용기가 다정함을 자아내고 있네</p><p><br></p><p>大切な夢　素晴らしき存在</p><p>타이세츠나 유메 스바라시키 소은자이</p><p>소중한 꿈과 굉장한 존재</p><p><br></p><p>取り合う両手で抱きしめては</p><p>토리아우 료-테데 다키시메테와</p><p>맞잡은 양손으로 끌어안고서는</p><p><br></p><p><br></p><p>共に叶えましょう</p><p>토모니 카나에마쇼-</p><p>함께 이뤄보자</p><p><br style=""color: rgb(51, 51, 51); font-family: -apple-system, BlinkMacSystemFont, &quot;Apple SD Gothic Neo&quot;, &quot;Malgun Gothic&quot;, &quot;맑은 고딕&quot;, arial, 굴림, Gulim, sans-serif; font-size: 13px;""></p>"
Grateful Melting,,2025-06-26,,https://www.youtube.com/watch?v=xeBOEvFrWK8&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=6,
Dazzle the Destiny,,2025-05-05,5,https://www.youtube.com/watch?v=NBqwhhtVs9I&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=5,
Requiem for Fate,,2025-06-06,5,https://www.youtube.com/watch?v=PbrDB_LOcmM&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=3,
Second to None,,2025-06-26,,https://www.youtube.com/watch?v=qqEMtc1NtGk&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=4,
Steadfast Spirits,,2025-11-19,,https://www.youtube.com/watch?v=ppeswfW0mg4&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9,
"紫炎
",,2025-07-20,,https://www.youtube.com/watch?v=0BsIKL3t76M&list=PLkc6qZ_s5R1vwpi5JQho-J1ZLhynltBo9&index=2,